"","date","drivers","front","rear"
"148","1981-04-01",1404,714,358
"149","1981-05-01",1522,814,378
"150","1981-06-01",1385,736,382
"151","1981-07-01",1641,876,433
"152","1981-08-01",1510,829,506
"153","1981-09-01",1681,818,428
"154","1981-10-01",1938,942,479
"155","1981-11-01",1868,782,370
"156","1981-12-01",1726,823,349
"157","1982-01-01",1456,595,238
"158","1982-02-01",1445,673,285
"159","1982-03-01",1456,660,324
"160","1982-04-01",1365,676,346
"161","1982-05-01",1487,755,410
"162","1982-06-01",1558,815,411
"163","1982-07-01",1488,867,496
"164","1982-08-01",1684,933,534
"165","1982-09-01",1594,798,396
"166","1982-10-01",1850,950,470
"167","1982-11-01",1998,825,385
"168","1982-12-01",2079,911,411
"169","1983-01-01",1494,619,281
"170","1983-02-01",1057,426,300
"171","1983-03-01",1218,475,318
"172","1983-04-01",1168,556,391
"173","1983-05-01",1236,559,398
"174","1983-06-01",1076,483,337
"175","1983-07-01",1174,587,477
"176","1983-08-01",1139,615,422
"177","1983-09-01",1427,618,495
"178","1983-10-01",1487,662,471
"179","1983-11-01",1483,519,368
"180","1983-12-01",1513,585,345
"181","1984-01-01",1357,483,296
"182","1984-02-01",1165,434,319
"183","1984-03-01",1282,513,349
"184","1984-04-01",1110,548,375
"185","1984-05-01",1297,586,441
"186","1984-06-01",1185,522,465
"187","1984-07-01",1222,601,472
"188","1984-08-01",1284,644,521
"189","1984-09-01",1444,643,429
"190","1984-10-01",1575,641,408
"191","1984-11-01",1737,711,490
"192","1984-12-01",1763,721,491
