"key","value","date"
"front",889,"1977-11-01"
"rear",370,"1977-11-01"
"drivers",2215,"1977-12-01"
"front",1046,"1977-12-01"
"rear",431,"1977-12-01"
"drivers",1956,"1978-01-01"
"front",889,"1978-01-01"
"rear",366,"1978-01-01"
"drivers",1462,"1978-02-01"
"front",626,"1978-02-01"
"rear",250,"1978-02-01"
"drivers",1563,"1978-03-01"
"front",808,"1978-03-01"
"rear",355,"1978-03-01"
"drivers",1459,"1978-04-01"
"front",746,"1978-04-01"
"rear",304,"1978-04-01"
"drivers",1446,"1978-05-01"
"front",754,"1978-05-01"
"rear",379,"1978-05-01"
"drivers",1622,"1978-06-01"
"front",865,"1978-06-01"
"rear",440,"1978-06-01"
"drivers",1657,"1978-07-01"
"front",980,"1978-07-01"
"rear",500,"1978-07-01"
"drivers",1638,"1978-08-01"
"front",959,"1978-08-01"
"rear",511,"1978-08-01"
"drivers",1643,"1978-09-01"
"front",856,"1978-09-01"
"rear",384,"1978-09-01"
"drivers",1683,"1978-10-01"
"front",798,"1978-10-01"
"rear",366,"1978-10-01"
"drivers",2050,"1978-11-01"
"front",942,"1978-11-01"
"rear",432,"1978-11-01"
"drivers",2262,"1978-12-01"
"front",1010,"1978-12-01"
"rear",390,"1978-12-01"
"drivers",1813,"1979-01-01"
"front",796,"1979-01-01"
"rear",306,"1979-01-01"
"drivers",1445,"1979-02-01"
"front",643,"1979-02-01"
"rear",232,"1979-02-01"
"drivers",1762,"1979-03-01"
"front",794,"1979-03-01"
"rear",342,"1979-03-01"
"drivers",1461,"1979-04-01"
"front",750,"1979-04-01"
"rear",329,"1979-04-01"
"drivers",1556,"1979-05-01"
"front",809,"1979-05-01"
"rear",394,"1979-05-01"
"drivers",1431,"1979-06-01"
"front",716,"1979-06-01"
"rear",355,"1979-06-01"
"drivers",1427,"1979-07-01"
"front",851,"1979-07-01"
"rear",385,"1979-07-01"
"drivers",1554,"1979-08-01"
"front",931,"1979-08-01"
"rear",463,"1979-08-01"
"drivers",1645,"1979-09-01"
"front",834,"1979-09-01"
"rear",453,"1979-09-01"
"drivers",1653,"1979-10-01"
"front",762,"1979-10-01"
"rear",373,"1979-10-01"
"drivers",2016,"1979-11-01"
"front",880,"1979-11-01"
"rear",401,"1979-11-01"
"drivers",2207,"1979-12-01"
"front",1077,"1979-12-01"
"rear",466,"1979-12-01"
"drivers",1665,"1980-01-01"
"front",748,"1980-01-01"
"rear",306,"1980-01-01"
"drivers",1361,"1980-02-01"
"front",593,"1980-02-01"
"rear",263,"1980-02-01"
"drivers",1506,"1980-03-01"
"front",720,"1980-03-01"
"rear",323,"1980-03-01"
"drivers",1360,"1980-04-01"
"front",646,"1980-04-01"
"rear",310,"1980-04-01"
"drivers",1453,"1980-05-01"
"front",765,"1980-05-01"
"rear",424,"1980-05-01"
"drivers",1522,"1980-06-01"
"front",820,"1980-06-01"
"rear",403,"1980-06-01"
"drivers",1460,"1980-07-01"
"front",807,"1980-07-01"
"rear",406,"1980-07-01"
"drivers",1552,"1980-08-01"
"front",885,"1980-08-01"
"rear",466,"1980-08-01"
"drivers",1548,"1980-09-01"
"front",803,"1980-09-01"
"rear",381,"1980-09-01"
"drivers",1827,"1980-10-01"
"front",860,"1980-10-01"
"rear",369,"1980-10-01"
"drivers",1737,"1980-11-01"
"front",825,"1980-11-01"
"rear",378,"1980-11-01"
"drivers",1941,"1980-12-01"
"front",911,"1980-12-01"
"rear",392,"1980-12-01"
"drivers",1474,"1981-01-01"
"front",704,"1981-01-01"
"rear",284,"1981-01-01"
"drivers",1458,"1981-02-01"
"front",691,"1981-02-01"
"rear",316,"1981-02-01"
"drivers",1542,"1981-03-01"
"front",688,"1981-03-01"
"rear",321,"1981-03-01"
"drivers",1404,"1981-04-01"
"front",714,"1981-04-01"
"rear",358,"1981-04-01"
"drivers",1522,"1981-05-01"
"front",814,"1981-05-01"
"rear",378,"1981-05-01"
"drivers",1385,"1981-06-01"
"front",736,"1981-06-01"
"rear",382,"1981-06-01"
"drivers",1641,"1981-07-01"
"front",876,"1981-07-01"
"rear",433,"1981-07-01"
"drivers",1510,"1981-08-01"
"front",829,"1981-08-01"
"rear",506,"1981-08-01"
"drivers",1681,"1981-09-01"
"front",818,"1981-09-01"
"rear",428,"1981-09-01"
"drivers",1938,"1981-10-01"
"front",942,"1981-10-01"
"rear",479,"1981-10-01"
"drivers",1868,"1981-11-01"
"front",782,"1981-11-01"
"rear",370,"1981-11-01"
"drivers",1726,"1981-12-01"
"front",823,"1981-12-01"
"rear",349,"1981-12-01"
"drivers",1456,"1982-01-01"
"front",595,"1982-01-01"
"rear",238,"1982-01-01"
"drivers",1445,"1982-02-01"
"front",673,"1982-02-01"
"rear",285,"1982-02-01"
"drivers",1456,"1982-03-01"
"front",660,"1982-03-01"
"rear",324,"1982-03-01"
"drivers",1365,"1982-04-01"
"front",676,"1982-04-01"
"rear",346,"1982-04-01"
"drivers",1487,"1982-05-01"
"front",755,"1982-05-01"
"rear",410,"1982-05-01"
"drivers",1558,"1982-06-01"
"front",815,"1982-06-01"
"rear",411,"1982-06-01"
"drivers",1488,"1982-07-01"
"front",867,"1982-07-01"
"rear",496,"1982-07-01"
"drivers",1684,"1982-08-01"
"front",933,"1982-08-01"
"rear",534,"1982-08-01"
"drivers",1594,"1982-09-01"
"front",798,"1982-09-01"
"rear",396,"1982-09-01"
"drivers",1850,"1982-10-01"
"front",950,"1982-10-01"
"rear",470,"1982-10-01"
"drivers",1998,"1982-11-01"
"front",825,"1982-11-01"
"rear",385,"1982-11-01"
"drivers",2079,"1982-12-01"
"front",911,"1982-12-01"
"rear",411,"1982-12-01"
"drivers",1494,"1983-01-01"
"front",619,"1983-01-01"
"rear",281,"1983-01-01"
"drivers",1057,"1983-02-01"
"front",426,"1983-02-01"
"rear",300,"1983-02-01"
"drivers",1218,"1983-03-01"
"front",475,"1983-03-01"
"rear",318,"1983-03-01"
"drivers",1168,"1983-04-01"
"front",556,"1983-04-01"
"rear",391,"1983-04-01"
"drivers",1236,"1983-05-01"
"front",559,"1983-05-01"
"rear",398,"1983-05-01"
"drivers",1076,"1983-06-01"
"front",483,"1983-06-01"
"rear",337,"1983-06-01"
"drivers",1174,"1983-07-01"
"front",587,"1983-07-01"
"rear",477,"1983-07-01"
"drivers",1139,"1983-08-01"
"front",615,"1983-08-01"
"rear",422,"1983-08-01"
"drivers",1427,"1983-09-01"
"front",618,"1983-09-01"
"rear",495,"1983-09-01"
"drivers",1487,"1983-10-01"
"front",662,"1983-10-01"
"rear",471,"1983-10-01"
"drivers",1483,"1983-11-01"
"front",519,"1983-11-01"
"rear",368,"1983-11-01"
"drivers",1513,"1983-12-01"
"front",585,"1983-12-01"
"rear",345,"1983-12-01"
"drivers",1357,"1984-01-01"
"front",483,"1984-01-01"
"rear",296,"1984-01-01"
"drivers",1165,"1984-02-01"
"front",434,"1984-02-01"
"rear",319,"1984-02-01"
"drivers",1282,"1984-03-01"
"front",513,"1984-03-01"
"rear",349,"1984-03-01"
"drivers",1110,"1984-04-01"
"front",548,"1984-04-01"
"rear",375,"1984-04-01"
"drivers",1297,"1984-05-01"
"front",586,"1984-05-01"
"rear",441,"1984-05-01"
"drivers",1185,"1984-06-01"
"front",522,"1984-06-01"
"rear",465,"1984-06-01"
"drivers",1222,"1984-07-01"
"front",601,"1984-07-01"
"rear",472,"1984-07-01"
"drivers",1284,"1984-08-01"
"front",644,"1984-08-01"
"rear",521,"1984-08-01"
"drivers",1444,"1984-09-01"
"front",643,"1984-09-01"
"rear",429,"1984-09-01"
"drivers",1575,"1984-10-01"
"front",641,"1984-10-01"
"rear",408,"1984-10-01"
"drivers",1737,"1984-11-01"
"front",711,"1984-11-01"
"rear",490,"1984-11-01"
"drivers",1763,"1984-12-01"
"front",721,"1984-12-01"
"rear",491,"1984-12-01"
