date,Canada,USA,Albania,Belgium,Bulgaria,Croatia,Czech Rep.,Denmark,Estonia,France,Germany,Greece,Hungary,Italy,Latvia,Lithuania,Luxembourg,Netherlands,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Turkey,UK
1968,0.025311634,0.08873111,0,0.031150957,0,0,0,0.026759341,0,0.049249614,0.03618806,0.046901783,0,0.029864224,0,0,0.009131889,0.036515818,0.036078431,0,0.073032142,0,0,0,0,0.032610619,0.053417629
1969,0.022654339,0.082729443,0,0.029318169,0,0,0,0.023916076,0,0.043807855,0.036105617,0.047887841,0,0.027310021,0,0,0.008164027,0.032225715,0.036042525,0,0.067158347,0,0,0,0,0.030657125,0.048976033
1970,0.021889797,0.076897,0,0.029186437,0,0,0,0.0242912,0,0.041174425,0.032004992,0.041973022,0,0.023204145,0,0,0.007548799,0.030514655,0.034728395,0,0.069577935,0,0,0,0,0.033057879,0.050429434
1971,0.021314856,0.066434752,0,0.028989269,0,0,0,0.023622222,0,0.039478344,0.032510494,0.041191992,0,0.025242049,0,0,0.007888052,0.030378744,0.033915044,0,0.072803067,0,0,0,0,0.035116429,0.048812207
1972,0.02011591,0.062718313,0,0.028807601,0,0,0,0.021799733,0,0.038457048,0.033650343,0.039565251,0,0.026957983,0,0,0.008169202,0.030150549,0.03291466,0,0.068280757,0,0,0,0,0.034455206,0.050417047
1973,0.01832408,0.056687707,0,0.028353135,0,0,0,0.019758076,0,0.037426359,0.03356652,0.035177091,0,0.024755542,0,0,0.007824833,0.028894935,0.031336051,0,0.059305588,0,0,0,0,0.033494505,0.047112482
1974,0.017839754,0.057291674,0,0.027614185,0,0,0,0.022348439,0,0.036744416,0.034645071,0.048244688,0,0.023344172,0,0,0.00758204,0.029195246,0.030355353,0,0.074000488,0,0,0,0,0.031930023,0.049223196
1975,0.018638298,0.053978964,0,0.030650371,0,0,0,0.023972495,0,0.038062398,0.034879585,0.058473216,0,0.022268674,0,0,0.009626662,0.030639638,0.032084303,0,0.052751428,0,0,0,0,0.051194244,0.052203491
1976,0.01766053,0.049881753,0,0.030933692,0,0,0,0.022042032,0,0.037574232,0.033311014,0.058292274,0,0.020610407,0,0,0.009862167,0.029012232,0.031240298,0,0.040189608,0,0,0,0,0.049430016,0.048561066
1977,0.018056505,0.049713688,0,0.031432474,0,0,0,0.022163031,0,0.03847223,0.032277626,0.059185357,0,0.021316896,0,0,0.010033842,0.031506766,0.030981768,0,0.035282715,0,0,0,0,0.047135576,0.046335041
1978,0.018490916,0.04762812,0,0.03261521,0,0,0,0.022718212,0,0.037518807,0.032396088,0.055754445,0,0.021192241,0,0,0.01028494,0.029365355,0.028413072,0,0.034745042,0,0,0,0,0.041872777,0.044973545
1979,0.017111565,0.047724221,0,0.032613451,0,0,0,0.022515274,0,0.037374823,0.031490297,0.051812483,0,0.021126961,0,0,0.010168779,0.030609861,0.027665563,0,0.034499769,0,0,0,0,0.033572045,0.045321755
1980,0.017643691,0.049563689,0,0.032501954,0,0,0,0.023630925,0,0.038354536,0.031460204,0.04660806,0,0.019883255,0,0,0.011531842,0.029577964,0.026190189,0,0.034588373,0,0,0,0,0.03884292,0.049497393
1981,0.01709985,0.054331995,0,0.033660494,0,0,0,0.024386664,0,0.039549501,0.032315722,0.057357013,0,0.020531117,0,0,0.012102739,0.030415537,0.026239722,0,0.034584997,0,0,0,0,0.039623867,0.047385857
1982,0.019544094,0.065666925,0,0.032699446,0,0,0,0.02419895,0,0.039243817,0.032235152,0.056265935,0,0.022608479,0,0,0.01192266,0.033372493,0.02744599,0,0.034488321,0,0,0,0,0.042678261,0.05291363
1983,0.02081257,0.060438522,0,0.031914132,0,0,0,0.023647429,0,0.039179244,0.032157369,0.051724625,0,0.022733967,0,0,0.012045415,0.03026117,0.027949778,0,0.033351244,0,0,0,0,0.040036373,0.051528774
1984,0.021173001,0.058881561,0,0.030079024,0,0,0,0.022354707,0,0.038490304,0.031087049,0.04835446,0,0.022644936,0,0,0.011535446,0.030400592,0.025444344,0,0.032674033,0,0,0,0.022622536,0.036507028,0.05307763
1985,0.020973248,0.061213167,0,0.029312339,0,0,0,0.021046721,0,0.037851877,0.030461901,0.046925736,0,0.021830515,0,0,0.009602695,0.029407303,0.027960002,0,0.031603147,0,0,0,0.023095184,0.035189691,0.050730046
1986,0.021092947,0.06302732,0,0.029537726,0,0,0,0.019448192,0,0.037234663,0.029643343,0.04128037,0,0.022290242,0,0,0.009221184,0.028949533,0.028084121,0,0.027663893,0,0,0,0.021381644,0.036570492,0.047896821
1987,0.020626211,0.060839465,0.058622289,0.029017948,0,0,0,0.020316475,0,0.037654822,0.029451804,0.04255543,0,0.023228339,0,0,0.010137994,0.028938062,0.029783196,0,0.026868234,0,0,0,0.022795625,0.033147877,0.044951186
1988,0.019867671,0.057464427,0.056173166,0.026287484,0,0,0,0.020874706,0,0.03586857,0.028055978,0.041982276,0.038032491,0.023369301,0,0,0.010531802,0.027935772,0.028930899,0.024975531,0.024965601,0.042824853,0,0,0.020057471,0.029322086,0.040142609
1989,0.019346143,0.055468454,0.051676127,0.024608543,0.043962707,0,0,0.020242201,0,0.035033819,0.026903536,0.037658706,0.030896215,0.022845849,0,0,0.008727204,0.026896838,0.029101571,0.018171261,0.024993111,0.047497981,0,0,0.019785251,0.031487265,0.038766904
1990,0.019587937,0.052783153,0.058883007,0.023554405,0.038334435,0,0,0.01950757,0,0.034368399,0.026754829,0.037982613,0.027932322,0.021204043,0,0,0.008725946,0.025166631,0.028862269,0.026124857,0.024375087,0.045812205,0,0,0.017752252,0.035277057,0.038204569
1991,0.018954443,0.045721836,0.053851232,0.022876928,0.030432316,0,0,0.019546802,0,0.034485963,0.021849342,0.034848673,0.024451827,0.020956624,0,0,0.008980966,0.023886547,0.027474872,0.022516502,0.024231123,0.04759716,0,0,0.016615979,0.037543642,0.039453382
1992,0.018616877,0.04666264,0.048819457,0.018323325,0.029726338,0.076073974,0,0.018893773,0,0.032897103,0.020349565,0.036298015,0.023884448,0.019751719,0,0,0.009156041,0.023509219,0.029647003,0.022309956,0.023903916,0.042609528,0,0.022472319,0.015113016,0.038705665,0.036857795
1993,0.018217535,0.043269368,0.031994511,0.017359659,0.026092716,0.107267471,0.023304041,0.019071977,0.007617504,0.03296698,0.018566783,0.036001264,0.021669764,0.020143944,0.007352954,0.008120347,0.007827283,0.021542101,0.026873498,0.024691873,0.023655812,0.027475929,0.019963603,0.018173028,0.016608135,0.039214173,0.034192856
1994,0.016966803,0.039412761,0.025478191,0.016771432,0.024926173,0.111481773,0.022834008,0.017701099,0.010416293,0.032518199,0.016927414,0.035819703,0.020791507,0.01932066,0.008387572,0.004934927,0.008208136,0.020322843,0.027331371,0.022732291,0.022261545,0.031201538,0.01939519,0.016540748,0.014724242,0.040513593,0.031938908
1995,0.015540901,0.03638494,0.020535874,0.015657522,0.023741313,0.093150104,0.018436227,0.017133133,0.009626534,0.030427765,0.016315832,0.031731895,0.015607484,0.017205991,0.008788174,0.004523769,0.006880075,0.019122652,0.023556422,0.019555071,0.022935701,0.026134477,0.03215934,0.015730418,0.014497602,0.039016497,0.029005279
1996,0.014037526,0.033507548,0.013790287,0.015401027,0.024029341,0.082920111,0.017319047,0.016733241,0.008767909,0.029486181,0.015988871,0.033119129,0.014709677,0.018609898,0.006715317,0.005015079,0.006874897,0.018731216,0.022084456,0.019679194,0.021496043,0.023690729,0.030345222,0.015363607,0.013843053,0.041396969,0.027772439
1997,0.012462432,0.032098995,0.012830816,0.014769758,0.024307014,0.089424925,0.016620458,0.016453736,0.01049835,0.02900084,0.015374456,0.033658596,0.016891593,0.019058008,0.006076205,0.007463926,0.007240861,0.017694463,0.020559787,0.020313067,0.020684997,0.0301765,0.023367495,0.014013656,0.013394163,0.041036722,0.025775946
1998,0.012562939,0.030176419,0.012382431,0.014639193,0.024530591,0.066002195,0.018259319,0.016389427,0.010710828,0.027206561,0.015173656,0.035338566,0.014708337,0.019289943,0.006264923,0.012277797,0.007396093,0.01697741,0.021999193,0.020190813,0.019056476,0.030041749,0.017772346,0.013611867,0.012795492,0.032611501,0.024948418
1999,0.012417031,0.029083936,0.012492088,0.014139317,0.026985335,0.052037378,0.01939863,0.016010258,0.012919719,0.026728063,0.015332472,0.035638048,0.016733117,0.019636836,0.007761329,0.009702543,0.006645875,0.017073625,0.020806562,0.019228363,0.019035676,0.026540367,0.015986267,0.012113052,0.012235237,0.039845151,0.024009653
2000,0.011459548,0.029334403,0.012463593,0.013712944,0.027227609,0.030661736,0.019680926,0.014945547,0.013787708,0.025469565,0.014919455,0.035916379,0.017269477,0.020279268,0.009001047,0.012208026,0.00632512,0.015494818,0.017365169,0.018368625,0.018791692,0.025078842,0.016791967,0.010931663,0.012063051,0.037491565,0.023604578
2001,0.011713075,0.029443434,0.013092923,0.013059276,0.029274952,0.027306347,0.018368982,0.015735881,0.015033995,0.024848551,0.014560242,0.033794275,0.018036802,0.019584395,0.010578878,0.013656033,0.007936023,0.015455213,0.01735261,0.019066432,0.019320136,0.024285731,0.018690012,0.013004825,0.011716689,0.036815293,0.023788639
2002,0.011543367,0.032495485,0.01320035,0.012448951,0.028533733,0.027660009,0.019054929,0.015493864,0.016666012,0.025051293,0.014593468,0.032118911,0.016330524,0.019886136,0.015959262,0.012746641,0.006797048,0.015346797,0.021184383,0.019054301,0.019670363,0.022965195,0.017983199,0.013876186,0.011537206,0.038921343,0.024468429
2003,0.0114869,0.036072863,0.013368439,0.012435181,0.027532863,0.020776952,0.019788609,0.015046156,0.017410456,0.025607811,0.014441742,0.025875248,0.01677748,0.019955784,0.016968358,0.011275076,0.006815867,0.0155051,0.020088544,0.019143191,0.019205181,0.021025936,0.018772602,0.014037983,0.010965135,0.033919648,0.025033217
2004,0.011431694,0.03785571,0.013811587,0.011785951,0.025738498,0.017824595,0.017916735,0.014623706,0.017036172,0.025825068,0.013984321,0.027245171,0.015036569,0.01967832,0.016698535,0.011954467,0.006886626,0.015386979,0.018795513,0.018905126,0.020061951,0.020188545,0.016845267,0.014306519,0.010855183,0.027848086,0.02430196
2005,0.011498649,0.038442381,0.013500055,0.011204666,0.024206447,0.017830012,0.018756081,0.013460544,0.019129402,0.024796664,0.013775903,0.029276009,0.014467613,0.018759511,0.017100903,0.011640571,0.006475165,0.014976244,0.016065592,0.019401662,0.021054822,0.019924583,0.017189412,0.014147043,0.010456495,0.025013418,0.023758305
2006,0.01167224,0.038081972,0.015677695,0.010770292,0.022613561,0.017037975,0.016512085,0.01420211,0.018751723,0.024149083,0.013118444,0.029067394,0.012530707,0.017816163,0.018526135,0.011627216,0.005808793,0.015061132,0.014738615,0.019377822,0.020153504,0.018350178,0.016310251,0.015380261,0.011674836,0.024719446,0.023150532
2007,0.012215894,0.038470467,0.018207653,0.011235554,0.02450792,0.016496923,0.015002787,0.013408531,0.020508631,0.023456491,0.012783612,0.027937703,0.013053464,0.016908972,0.016805439,0.01124164,0.005573794,0.014656513,0.014931631,0.020203586,0.018840746,0.015283885,0.015098926,0.014396663,0.01160231,0.02332128,0.023095633
2008,0.012879304,0.042200485,0.019691669,0.012408839,0.020030296,0.018394811,0.012947448,0.013923493,0.021293431,0.023327746,0.013285519,0.030955131,0.012111754,0.017879343,0.017390214,0.01140188,0.005324885,0.014205541,0.014036409,0.017659621,0.019101295,0.014683505,0.014792974,0.014919163,0.011726917,0.023159607,0.024413845
2009,0.01416929,0.046367969,0.020584764,0.011876805,0.019832671,0.018026337,0.013786695,0.013966927,0.022708015,0.025528982,0.014402647,0.033149205,0.01165279,0.01815347,0.014071729,0.010926586,0.005593784,0.015226998,0.016353738,0.018342065,0.021141737,0.013539546,0.015393411,0.015900481,0.01164989,0.026279749,0.026229417
2010,0.012271288,0.046656064,0.016155102,0.011131913,0.018720419,0.01702625,0.012584334,0.014390484,0.017503703,0.024099921,0.014027851,0.027746352,0.010594601,0.017548462,0.01077504,0.008889377,0.006360902,0.014439744,0.015438244,0.018710486,0.020612116,0.0126597,0.012949603,0.016095122,0.010645933,0.024275588,0.025302652
2011,0.011793319,0.045839763,0.015491851,0.01071297,0.015483099,0.017778207,0.011451898,0.013539103,0.017266471,0.023232317,0.013288463,0.024591054,0.010709692,0.017356039,0.010422501,0.007998623,0.005295988,0.013977058,0.014735451,0.018332898,0.02061636,0.013017536,0.011061398,0.012988348,0.009613629,0.022109662,0.024475466
2012,0.011200872,0.042366742,0.015313312,0.010702656,0.015739678,0.016912692,0.010922519,0.014032237,0.019523253,0.022997439,0.013556171,0.023810039,0.010612139,0.016755003,0.009011606,0.007761916,0.004986346,0.013451435,0.014287065,0.018345997,0.019502457,0.013777932,0.011113283,0.011748058,0.010522817,0.022593104,0.023628898
2013,0.010116506,0.03815017,0.01422488,0.010293814,0.016969791,0.016536545,0.010496295,0.012766816,0.019582604,0.022815748,0.013092377,0.024911813,0.009299102,0.016360817,0.009166958,0.00772585,0.004837483,0.012913751,0.014398355,0.017966446,0.021739393,0.013348313,0.010059043,0.010549458,0.009281634,0.022471198,0.022440119
2014,0.009844784,0.035019799,0.010319739,0.010038565,0.015767637,0.0154459,0.010457763,0.013193219,0.020055389,0.022476232,0.012392889,0.022032729,0.008936428,0.014817677,0.009321619,0.007894649,0.004746144,0.012466296,0.013672703,0.019482428,0.01879456,0.012892875,0.010075754,0.010024134,0.009281185,0.021746812,0.021501231
